user_id,sum_gamerounds,ad_interval
55724,70,4_min
72580,59,4_min
6992,2,3_min
17742,18,3_min
83045,189,3_min
56890,21,3_min
44943,60,3_min
12131,2,3_min
84001,193,3_min
6853,20,3_min
86568,21,3_min
39198,15,3_min
52291,2,3_min
71840,85,4_min
23464,82,4_min
33825,46,3_min
22815,243,4_min
71443,11,4_min
61090,90,4_min
31755,17,4_min
35015,20,4_min
51589,37,3_min
16822,15,4_min
67050,121,3_min
28852,3,3_min
82953,41,4_min
83008,405,4_min
49423,3,4_min
50517,2,3_min
70742,13,3_min
31522,2,4_min
53916,43,3_min
34936,105,4_min
2178,4,3_min
16220,26,4_min
26181,9,4_min
19356,5,3_min
7915,181,4_min
80308,103,4_min
